I,Error,a,Error
0.168,0.022077717273305226,0.30550504633038933,0.029599196507041094
0.198,0.0215790731960388,0.3478505426185217,0.030977097274527764
0.18,0.01961733926912618,0.33166247903553997,0.029535503374683823
